src:port,sep,dst:port,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
144.93.121.10:37100,<->,144.93.120.177:17676,100,20400,0,0,100,20400,0.005774000,1.9800
144.93.121.86:43642,<->,144.93.120.177:34346,100,20400,0,0,100,20400,0.005764000,1.9800
144.93.121.10:19666,<->,144.93.120.177:10098,100,20400,0,0,100,20400,0.005675000,1.9800
144.93.125.49:58696,<->,144.93.121.86:8604,0,0,100,20400,100,20400,0.005554000,1.9800
144.93.125.49:58276,<->,144.93.121.86:8778,0,0,100,20400,100,20400,0.005516000,1.9800
236.90.17.75:54064,<->,144.93.121.10:46334,0,0,100,20400,100,20400,0.005421000,1.9800
144.93.120.28:50614,<->,144.93.121.86:28790,0,0,100,20400,100,20400,0.005346000,1.9799
144.93.121.86:53372,<->,144.93.120.177:17552,100,20400,0,0,100,20400,0.005319000,1.9800
144.93.121.86:44722,<->,144.93.125.38:29592,100,20400,0,0,100,20400,0.005268000,1.9800
144.93.121.48:58032,<->,144.93.120.177:38256,100,20400,0,0,100,20400,0.005006000,1.9800
144.93.120.177:36464,<->,144.93.121.10:28938,0,0,100,20400,100,20400,0.004905000,1.9800
144.93.120.177:25922,<->,144.93.121.86:8940,0,0,100,20400,100,20400,0.004709000,1.9800
144.93.121.10:58502,<->,101.71.113.171:30102,100,20400,0,0,100,20400,0.004641000,1.9800
144.93.120.177:34578,<->,144.93.121.86:18610,0,0,100,20400,100,20400,0.004492000,1.9801
144.93.121.10:49040,<->,144.93.120.177:41902,100,20400,0,0,100,20400,0.004361000,1.9800
144.93.121.10:45284,<->,145.2.46.74:7370,100,20400,0,0,100,20400,0.004305000,1.9800
144.93.121.48:49700,<->,144.93.120.28:28292,100,20400,0,0,100,20400,0.004272000,1.9801
144.93.120.177:27812,<->,144.93.121.10:doip-disc,0,0,100,20400,100,20400,0.004048000,1.9800
144.93.121.86:61872,<->,144.93.120.177:40936,100,20400,0,0,100,20400,0.003868000,1.9800
144.93.120.28:56582,<->,144.93.121.86:10308,0,0,100,20400,100,20400,0.003369000,1.9853
144.93.121.48:32828,<->,144.93.120.177:19196,100,20400,0,0,100,20400,0.003339000,1.9800
144.93.121.48:56660,<->,144.93.120.28:9838,100,20400,0,0,100,20400,0.003336000,1.9801
