src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
220.28.115.46,<->,215.158.238.246,0,0,280,375211,280,375211,0.196235000,1.8027
220.28.115.46,<->,215.158.238.145,0,0,277,373281,277,373281,0.035082000,1.9557
215.158.23.26,<->,113.23.111.152,276,410805,0,0,276,410805,0.013622000,1.9828
105.94.46.174,<->,92.168.217.225,0,0,275,16999,275,16999,0.040639000,1.8975
210.156.69.212,<->,202.227.161.108,274,375654,0,0,274,375654,0.085133000,1.8814
220.28.108.254,<->,215.158.238.70,0,0,274,363723,274,363723,0.059256000,1.8632
92.168.217.229,<->,50.136.164.18,274,15356,0,0,274,15356,0.002566000,1.6430
75.31.150.18,<->,8.252.223.106,0,0,271,15176,271,15176,0.017313000,1.9736
220.28.73.211,<->,215.158.238.147,0,0,270,343342,270,343342,0.017699000,1.9736
215.158.238.71,<->,98.219.126.140,269,354533,0,0,269,354533,0.235359000,1.7333
60.101.63.113,<->,8.252.221.197,0,0,269,19340,269,19340,0.021010000,1.9725
215.158.33.1,<->,133.178.226.95,0,0,266,391587,266,391587,0.949787000,0.9447
215.158.238.121,<->,93.156.41.103,266,16641,0,0,266,16641,0.855323000,1.1197
215.158.239.8,<->,68.231.18.93,266,399185,0,0,266,399185,0.043494000,0.2880
132.211.124.62,<->,92.26.149.204,264,14784,0,0,264,14784,0.839686000,1.0408
215.158.239.2,<->,96.135.154.146,264,362761,0,0,264,362761,0.076228000,1.1092
112.28.164.193,<->,92.168.217.181,0,0,263,15504,263,15504,0.919420000,0.6133
216.184.1.126,<->,136.25.188.245,0,0,263,354125,263,354125,0.336064000,1.6469
220.28.65.9,<->,133.178.227.8,0,0,262,339728,262,339728,0.041341000,1.9148
215.158.238.153,<->,98.219.126.140,257,334970,0,0,257,334970,0.017894000,1.9478
220.28.85.14,<->,215.158.140.81,0,0,256,341443,256,341443,0.417360000,1.5362
215.158.238.193,<->,56.100.165.51,255,378034,0,0,255,378034,0.052521000,1.7824
215.158.238.177,<->,29.211.6.106,254,16526,0,0,254,16526,0.213494000,1.7616
133.178.226.244,<->,97.28.132.56,253,196247,0,0,253,196247,0.585354000,0.0579
215.158.238.219,<->,56.100.165.44,253,379585,0,0,253,379585,0.436055000,0.0031
50.136.151.223,<->,8.20.87.246,0,0,252,14390,252,14390,0.432709000,1.5625
192.228.25.244,<->,133.178.226.196,0,0,252,374822,252,374822,0.143578000,1.7923
215.158.238.153,<->,98.219.126.175,252,333334,0,0,252,333334,0.097034000,1.8444
133.54.43.65,<->,117.21.132.72,252,12600,0,0,252,12600,0.000778000,0.5869
215.158.239.1,<->,215.158.127.140,251,369647,0,0,251,369647,0.907900000,0.9853
215.158.238.152,<->,98.219.126.175,251,339407,0,0,251,339407,0.087074000,1.8341
220.28.108.254,<->,215.158.238.85,0,0,251,327881,251,327881,0.029399000,1.9601
133.178.226.235,<->,8.47.189.87,250,373294,0,0,250,373294,0.248914000,1.3713
215.158.238.100,<->,98.219.126.175,250,324096,0,0,250,324096,0.034123000,1.8957
215.158.239.27,<->,96.135.154.115,249,351802,0,0,249,351802,0.741652000,1.1423
133.32.39.42,<->,97.120.97.20,249,13944,0,0,249,13944,0.039807000,1.9580
215.158.238.139,<->,98.219.126.175,248,327018,0,0,248,327018,0.073079000,1.7257
100.122.40.206,<->,8.182.227.71,0,0,248,12604,248,12604,0.013890000,1.9806
215.158.239.3,<->,215.158.58.200,247,355220,0,0,247,355220,0.097305000,1.4567
141.97.5.136,<->,133.54.43.55,0,0,246,14294,246,14294,0.141746000,1.8566
215.158.61.222,<->,99.74.26.216,0,0,246,358738,246,358738,0.103785000,1.8928
144.85.170.244,<->,98.87.146.40,246,17504,0,0,246,17504,0.078742000,1.9000
215.158.238.220,<->,113.207.62.36,244,14712,0,0,244,14712,1.141040000,0.6680
76.179.112.245,<->,8.252.221.204,0,0,244,14120,244,14120,0.117935000,1.7328
230.78.131.242,<->,8.9.165.191,0,0,243,14388,243,14388,0.276090000,1.6961
215.158.238.238,<->,112.235.18.28,242,18309,0,0,242,18309,0.348391000,0.5684
215.158.238.111,<->,100.120.38.6,242,315704,0,0,242,315704,0.032686000,1.4447
204.138.175.253,<->,8.252.222.178,0,0,242,13914,242,13914,0.030223000,1.9637
