src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
255.133.39.74,<->,29.209.14.200,1,1004,0,0,1,1004,1.685819000,0.0000
199.66.208.243,<->,39.162.166.120,0,0,1,101,1,101,1.685696000,0.0000
223.122.185.191,<->,8.43.220.234,0,0,1,704,1,704,1.684670000,0.0000
132.51.6.109,<->,119.158.24.205,1,60,0,0,1,60,1.683057000,0.0000
195.83.166.40,<->,39.147.89.158,0,0,1,60,1,60,1.681877000,0.0000
223.122.185.191,<->,8.43.209.194,0,0,1,704,1,704,1.681838000,0.0000
194.248.50.194,<->,39.15.83.238,0,0,1,67,1,67,1.679225000,0.0000
149.195.49.108,<->,132.51.6.109,0,0,1,64,1,64,1.679102000,0.0000
194.248.50.194,<->,39.15.83.196,0,0,1,67,1,67,1.675579000,0.0000
192.229.223.2,<->,149.199.118.25,1,704,0,0,1,704,1.675388000,0.0000
220.55.111.214,<->,112.14.199.242,1,60,0,0,1,60,1.674951000,0.0000
194.248.50.194,<->,39.15.83.195,0,0,1,67,1,67,1.673999000,0.0000
56.121.35.12,<->,8.32.89.211,1,84,0,0,1,84,1.673248000,0.0000
204.144.56.71,<->,39.158.19.99,0,0,1,104,1,104,1.672515000,0.0000
194.248.50.194,<->,39.15.83.129,0,0,1,67,1,67,1.672169000,0.0000
125.216.38.51,<->,8.43.212.233,0,0,1,704,1,704,1.671245000,0.0000
204.77.93.74,<->,39.199.197.135,0,0,1,106,1,106,1.668478000,0.0000
89.183.104.184,<->,75.92.131.181,1,60,0,0,1,60,1.666105000,0.0000
76.2.251.232,<->,8.220.195.10,0,0,1,704,1,704,1.666007000,0.0000
194.206.106.251,<->,20.172.50.83,0,0,1,101,1,101,1.661653000,0.0000
205.174.128.121,<->,39.195.244.14,0,0,1,60,1,60,1.661129000,0.0000
207.115.229.20,<->,20.139.79.137,0,0,1,102,1,102,1.659761000,0.0000
122.252.105.253,<->,39.206.221.49,0,0,1,106,1,106,1.657607000,0.0000
27.2.254.221,<->,20.116.199.147,0,0,1,106,1,106,1.649717000,0.0000
237.7.172.101,<->,99.73.143.215,0,0,1,84,1,84,1.649546000,0.0000
196.114.201.194,<->,39.146.221.234,0,0,1,105,1,105,1.648778000,0.0000
196.15.236.179,<->,39.200.37.227,0,0,1,60,1,60,1.648552000,0.0000
97.173.81.147,<->,39.138.159.99,0,0,1,102,1,102,1.641774000,0.0000
159.165.39.68,<->,8.220.178.8,0,0,1,704,1,704,1.640676000,0.0000
193.41.82.236,<->,20.192.194.65,0,0,1,106,1,106,1.640476000,0.0000
69.246.57.22,<->,34.2.220.7,0,0,1,60,1,60,1.635752000,0.0000
149.201.160.73,<->,137.21.23.55,0,0,1,1002,1,1002,1.632649000,0.0000
131.238.203.44,<->,92.27.219.19,0,0,1,80,1,80,1.630573000,0.0000
73.89.20.239,<->,39.233.87.102,0,0,1,60,1,60,1.630371000,0.0000
8.222.105.7,<->,8.52.235.218,0,0,1,1002,1,1002,1.627104000,0.0000
33.220.0.56,<->,8.52.168.54,0,0,1,1002,1,1002,1.622232000,0.0000
215.158.239.237,<->,8.191.134.109,1,72,0,0,1,72,1.620311000,0.0000
207.213.142.242,<->,39.38.105.44,0,0,1,100,1,100,1.619837000,0.0000
113.80.107.218,<->,39.41.185.141,0,0,1,60,1,60,1.614850000,0.0000
105.69.52.216,<->,20.224.91.117,0,0,1,108,1,108,1.609648000,0.0000
196.63.33.154,<->,39.197.80.179,0,0,1,102,1,102,1.609323000,0.0000
33.98.7.246,<->,20.211.27.230,0,0,1,60,1,60,1.608677000,0.0000
235.236.66.193,<->,20.116.228.206,0,0,1,103,1,103,1.608500000,0.0000
207.86.19.243,<->,80.40.29.132,0,0,1,107,1,107,1.606388000,0.0000
253.244.247.39,<->,20.192.253.166,0,0,1,104,1,104,1.603946000,0.0000
195.18.35.108,<->,20.199.175.244,0,0,1,100,1,100,1.603323000,0.0000
247.136.245.208,<->,38.164.213.201,1,80,0,0,1,80,1.598283000,0.0000
192.170.150.50,<->,6.73.247.16,0,0,1,704,1,704,1.591715000,0.0000
196.83.184.54,<->,39.133.102.99,0,0,1,100,1,100,1.589605000,0.0000
205.122.195.32,<->,8.220.198.219,0,0,1,704,1,704,1.589187000,0.0000
144.75.218.241,<->,96.129.66.231,1,100,0,0,1,100,1.587376000,0.0000
255.133.229.164,<->,39.220.108.12,0,0,1,100,1,100,1.586956000,0.0000
255.133.229.164,<->,39.169.17.209,0,0,1,100,1,100,1.584573000,0.0000
98.198.28.253,<->,8.53.11.58,0,0,1,84,1,84,1.582798000,0.0000
103.186.213.175,<->,20.30.19.163,0,0,1,60,1,60,1.580952000,0.0000
204.182.95.230,<->,39.142.105.230,0,0,1,98,1,98,1.579457000,0.0000
192.242.74.229,<->,20.206.185.169,0,0,1,96,1,96,1.579382000,0.0000
86.151.231.2,<->,8.220.177.253,0,0,1,704,1,704,1.577785000,0.0000
199.72.62.245,<->,136.25.188.197,0,0,1,129,1,129,1.576305000,0.0000
196.107.118.140,<->,20.0.254.190,0,0,1,107,1,107,1.566583000,0.0000
29.213.216.193,<->,8.52.171.60,0,0,1,1002,1,1002,1.565933000,0.0000
133.178.227.165,<->,112.40.39.255,1,704,0,0,1,704,1.561585000,0.0000
