src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
102.83.246.39:37056,<->,8.240.117.69:http,2047,3076724,0,0,2047,3076724,0.258857000,1.4763
8.252.222.153:37844,<->,215.158.197.12:https,1866,2718861,0,0,1866,2718861,0.027553000,0.3526
80.41.49.252:49173,<->,22.250.210.0:http,1829,2720408,0,0,1829,2720408,0.001847000,1.9943
80.41.39.76:49992,<->,124.55.166.157:https,1817,2732768,0,0,1817,2732768,0.001309000,1.9944
80.42.151.30:55317,<->,22.250.173.71:http,1781,2678624,0,0,1781,2678624,0.017751000,1.9763
8.255.92.213:45087,<->,215.158.23.56:9482,0,0,1710,2551331,1710,2551331,0.010606000,1.9800
215.158.140.171:59479,<->,98.219.126.140:http,1709,2482603,0,0,1709,2482603,0.665909000,0.5442
101.70.121.77:55843,<->,91.250.62.235:http,1580,2249920,0,0,1580,2249920,0.013681000,1.9860
133.178.226.55:54124,<->,215.158.33.13:https,1562,2190045,0,0,1562,2190045,0.454461000,0.9739
136.25.189.55:40785,<->,80.56.246.217:http,1540,2185375,0,0,1540,2185375,0.858638000,0.1864
133.178.227.28:49866,<->,8.255.87.80:https,1503,2191653,0,0,1503,2191653,0.805956000,0.2763
215.158.140.180:40556,<->,131.31.145.204:http,1486,2184415,0,0,1486,2184415,0.881909000,0.8821
136.25.189.10:41981,<->,192.170.254.72:http,1477,2180435,0,0,1477,2180435,0.082417000,0.1751
215.158.195.23:33322,<->,53.231.141.142:http,1452,2161517,0,0,1452,2161517,1.487050000,0.3331
215.158.140.216:62483,<->,220.38.163.255:http,1444,2170372,0,0,1444,2170372,0.470145000,0.4970
215.158.195.21:59685,<->,53.231.227.65:http,1443,2161104,0,0,1443,2161104,0.050094000,0.4209
215.158.238.254:53495,<->,220.28.115.46:http,1404,2033609,0,0,1404,2033609,0.018645000,1.8879
133.135.214.225:30316,<->,129.6.83.5:microsoft-ds,0,0,1401,2012668,1401,2012668,0.929419000,0.9748
133.178.226.43:44389,<->,215.158.33.1:https,1383,1945677,0,0,1383,1945677,0.003684000,1.1988
215.158.238.194:50690,<->,220.28.85.14:http,1364,1970571,0,0,1364,1970571,0.017027000,1.9092
111.147.177.227:50847,<->,53.230.16.127:http,1220,1833662,0,0,1220,1833662,0.052185000,0.9899
133.178.226.55:42354,<->,215.158.33.13:http,1201,1771526,0,0,1201,1771526,0.296391000,1.6101
215.158.140.214:42862,<->,113.23.83.164:http,1153,1733894,0,0,1153,1733894,1.541067000,0.1990
17.23.199.45:49588,<->,8.220.239.104:https,0,0,1136,60413,1136,60413,0.058273000,1.8127
215.158.140.201:51275,<->,100.224.132.154:http,1117,1602384,0,0,1117,1602384,0.276582000,0.1635
109.1.19.72:49255,<->,22.249.49.193:http,1046,1573184,0,0,1046,1573184,0.009216000,1.9662
8.252.222.234:40513,<->,215.158.197.18:https,1024,1502560,0,0,1024,1502560,1.817487000,0.1749
215.158.238.246:56630,<->,215.158.132.243:https,956,1364643,0,0,956,1364643,1.929394000,0.0628
136.116.28.230:65051,<->,215.158.49.48:http,926,1389701,0,0,926,1389701,1.260715000,0.1239
92.27.27.161:54652,<->,0.48.226.240:21321,926,1287312,0,0,926,1287312,0.048547000,1.9494
252.98.149.218:59667,<->,144.85.169.244:http,915,1373252,0,0,915,1373252,0.579779000,1.4193
215.158.238.118:45336,<->,159.218.248.240:http,911,1367361,0,0,911,1367361,1.714055000,0.0450
209.91.237.87:50316,<->,8.52.154.11:https,0,0,907,45872,907,45872,0.216783000,1.4727
136.116.28.231:65483,<->,215.158.49.51:http,896,1339544,0,0,896,1339544,0.009736000,0.2048
80.41.48.44:52261,<->,0.38.147.27:https,894,1343977,0,0,894,1343977,0.000011000,1.9783
80.41.51.42:47222,<->,193.22.56.246:http,892,1281260,0,0,892,1281260,0.009867000,1.9041
192.64.229.30:51189,<->,132.165.165.5:http,890,1338560,0,0,890,1338560,0.103923000,1.8904
247.136.153.191:52958,<->,22.249.49.193:http,888,1335552,0,0,888,1335552,0.005314000,1.9843
33.233.141.61:48789,<->,53.231.66.9:http,875,1284748,0,0,875,1284748,0.463416000,1.5301
33.239.214.176:50521,<->,215.158.238.104:https,0,0,849,47544,849,47544,0.040329000,1.8828
133.178.226.22:56704,<->,100.120.38.6:http,843,1218384,0,0,843,1218384,0.344621000,1.6130
136.116.28.228:57295,<->,215.158.49.22:http,836,1254909,0,0,836,1254909,1.139105000,0.0613
