src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
155.18.131.13,<->,20.169.96.107,0,0,1,64,1,64,1.462554000,0.0000
108.40.175.121,<->,20.40.5.45,0,0,1,64,1,64,1.462420000,0.0000
121.13.225.160,<->,109.222.214.116,0,0,1,99,1,99,1.462352000,0.0000
109.1.16.158,<->,27.188.163.162,1,445,0,0,1,445,1.462296000,0.0000
127.28.135.140,<->,39.23.141.102,0,0,1,52,1,52,1.462171000,0.0000
159.112.9.198,<->,111.181.112.48,0,0,1,81,1,81,1.462154000,0.0000
131.141.160.18,<->,20.197.31.46,0,0,1,106,1,106,1.462073000,0.0000
92.162.177.72,<->,92.27.27.171,0,0,1,64,1,64,1.462005000,0.0000
38.30.47.28,<->,20.116.161.33,0,0,1,100,1,100,1.461924000,0.0000
133.32.39.1,<->,111.150.207.167,1,56,0,0,1,56,1.461762000,0.0000
220.55.111.215,<->,112.14.222.61,1,50,0,0,1,50,1.461500000,0.0000
241.193.172.231,<->,20.246.196.67,0,0,1,50,1,50,1.461019000,0.0000
140.68.10.122,<->,8.252.222.158,0,0,1,132,1,132,1.460941000,0.0000
215.158.239.93,<->,195.83.80.21,1,68,0,0,1,68,1.460855000,0.0000
111.146.175.27,<->,27.158.211.45,1,50,0,0,1,50,1.460814000,0.0000
206.195.52.10,<->,100.95.143.25,0,0,1,56,1,56,1.460713000,0.0000
80.56.91.248,<->,8.252.223.247,0,0,1,56,1,56,1.460577000,0.0000
215.158.123.32,<->,136.25.189.94,0,0,1,1064,1,1064,1.460512000,0.0000
111.151.142.208,<->,99.74.87.240,0,0,1,56,1,56,1.460503000,0.0000
195.86.156.214,<->,20.31.149.15,0,0,1,100,1,100,1.460321000,0.0000
201.220.28.91,<->,109.1.36.149,0,0,1,135,1,135,1.460226000,0.0000
97.203.33.81,<->,8.182.226.78,0,0,1,56,1,56,1.460223000,0.0000
92.27.219.131,<->,48.109.4.185,1,50,0,0,1,50,1.459488000,0.0000
215.158.239.4,<->,96.166.222.241,1,50,0,0,1,50,1.459466000,0.0000
98.67.143.207,<->,58.20.165.33,1,79,0,0,1,79,1.459425000,0.0000
215.158.239.95,<->,207.115.125.111,1,56,0,0,1,56,1.458866000,0.0000
221.98.74.9,<->,111.48.44.18,1,50,0,0,1,50,1.458865000,0.0000
120.155.87.66,<->,8.176.8.96,0,0,1,157,1,157,1.458597000,0.0000
207.162.163.246,<->,8.182.138.83,0,0,1,261,1,261,1.458512000,0.0000
133.178.227.8,<->,111.150.207.168,1,100,0,0,1,100,1.458451000,0.0000
215.158.140.207,<->,199.47.179.172,1,501,0,0,1,501,1.458376000,0.0000
215.158.239.92,<->,199.39.126.136,1,50,0,0,1,50,1.458166000,0.0000
109.222.195.216,<->,105.18.118.50,1,74,0,0,1,74,1.458093000,0.0000
197.108.67.239,<->,129.224.112.252,0,0,1,74,1,74,1.457714000,0.0000
215.158.239.101,<->,215.158.61.145,1,56,0,0,1,56,1.457355000,0.0000
57.236.181.228,<->,39.150.98.123,0,0,1,106,1,106,1.457343000,0.0000
156.180.238.191,<->,39.33.251.202,0,0,1,52,1,52,1.457304000,0.0000
210.209.251.214,<->,102.83.50.79,0,0,1,50,1,50,1.456873000,0.0000
192.64.255.44,<->,134.241.245.8,1,50,0,0,1,50,1.456643000,0.0000
205.224.85.74,<->,99.73.59.147,0,0,1,50,1,50,1.456512000,0.0000
99.162.65.136,<->,53.245.244.92,1,257,0,0,1,257,1.456489000,0.0000
192.67.142.109,<->,0.68.165.164,1,80,0,0,1,80,1.456356000,0.0000
